dist, ambient, reflection, color(we moved backwards for 2mm at a time looking at black surface)
0, 12, 71, Color.WHITE
2, 13, 70, Color.WHITE
4, 14, 74, Color.WHITE
6, 13, 74, Color.WHITE
8, 14, 84, Color.WHITE
10, 14, 80, Color.WHITE
12, 14, 68, Color.WHITE
14, 14, 77, Color.WHITE
16, 14, 85, Color.WHITE
18, 13, 95, Color.WHITE
20, 13, 82, Color.WHITE
22, 12, 82, Color.WHITE
24, 10, 69, Color.WHITE
26, 8, 47, Color.WHITE
28, 4, 13, Color.BLACK
30, 4, 7, Color.BLACK
32, 3, 5, Color.BLACK
34, 2, 4, Color.BLACK
36, 2, 3, Color.BLACK
38, 2, 4, Color.BLACK
40, 2, 5, Color.BLACK
42, 2, 5, Color.BLACK
44, 1, 3, Color.BLACK
46, 1, 4, Color.BLACK
48, 2, 5, Color.BLACK
50, 1, 5, Color.BLACK
52, 2, 4, Color.BLACK
54, 2, 5, Color.BLACK
56, 2, 4, Color.BLACK
58, 2, 3, Color.BLACK
60, 2, 4, Color.BLACK
62, 2, 4, Color.BLACK
64, 2, 4, Color.BLACK
66, 2, 5, Color.BLACK
68, 2, 5, Color.BLACK
70, 2, 4, Color.BLACK
72, 2, 3, Color.BLACK
74, 3, 6, Color.BLACK
76, 4, 6, Color.BLACK
78, 7, 12, Color.BLACK
80, 10, 36, Color.WHITE
82, 13, 80, Color.WHITE
84, 13, 83, Color.WHITE
86, 14, 92, Color.WHITE
88, 14, 69, Color.WHITE
90, 14, 71, Color.WHITE
92, 15, 95, Color.WHITE
94, 15, 81, Color.WHITE
96, 15, 95, Color.WHITE
98, 15, 76, Color.WHITE
